MarriageStatus,age,sex,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,label
1,27,1,1,0.0,0.0,0.0,0.026315789,0.252209381,0.004638904,1,1
2,28,1,1,0.0,0.0,0.0,0.052631579,0.280761387,0.00010543,1,1
1,36,1,0,0.0,0.076923077,0.0,0.105263158,0.280761387,0.00010543,0,0
1,27,0,1,0.0,0.0,0.0,0.157894737,0.280761387,0.00010543,1,1
2,43,1,0,0.0,0.0,0.0,0.052631579,0.280761387,0.00010543,1,0
7,56,1,1,0.0,0.0,0.0,0.0,0.280761387,0.00010543,1,0
1,22,1,0,0.0,0.0,0.0,0.157894737,0.280761387,0.00010543,1,0
1,35,1,1,0.0,0.0,0.117647059,0.078947368,0.281441196,0.00010543,1,0
5,26,1,0,0.0,0.0,0.0,0.0,0.280761387,0.00010543,1,0
1,25,1,1,0.0,0.0,0.117647059,0.105263158,0.2746431,0.000421719,0,0
1,21,1,0,0.0,0.0,0.0,0.0,0.280081577,0.000210859,1,0
1,28,1,1,0.0,0.0,0.0,0.0,0.280761387,0.00010543,0,0
1,27,1,0,0.0,0.0,0.0,0.026315789,0.280761387,0.00010543,1,0
7,39,0,0,0.0,0.0,0.0,0.0,0.280761387,0.00010543,1,1
1,35,1,0,0.0,0.0,0.0,0.105263158,0.280761387,0.00010543,1,0
1,26,1,0,0.0,0.0,0.0,0.0,0.281441196,0.00010543,0,0
1,46,1,0,0.0,0.0,0.0,0.052631579,0.281441196,0.0,1,1
1,48,1,1,0.05,0.0,0.0,0.605263158,0.280761387,0.00010543,1,1
2,49,1,1,0.0,0.0,0.0,0.0,0.281441196,0.00010543,0,0
1,30,1,0,0.0,0.0,0.0,0.210526316,0.280761387,0.00010543,1,1
1,22,1,0,0.0,0.0,0.0,0.026315789,0.280761387,0.00010543,1,1
1,22,1,1,0.0,0.0,0.0,0.026315789,0.280761387,0.00010543,1,1
3,23,1,0,0.0,0.0,0.058823529,0.131578947,0.281441196,0.00010543,1,1
1,27,1,0,0.05,0.0,0.058823529,0.105263158,0.485384092,0.074538745,0,1
1,36,1,1,0.0,0.0,0.0,0.131578947,0.280761387,0.00010543,1,1
1,29,1,0,0.0,0.0,0.0,0.0,0.281441196,0.0,0,0
1,39,1,1,0.0,0.0,0.0,0.0,0.280761387,0.00010543,1,0
1,23,0,0,0.0,0.0,0.0,0.0,0.280761387,0.00010543,0,0
2,38,0,0,0.0,0.076923077,0.0,0.210526316,-1.0,0.00010543,0,1
1,31,1,0,0.0,0.0,0.0,0.026315789,0.281441196,0.00010543,1,1
1,22,1,0,0.0,0.0,0.0,0.0,0.280761387,0.00010543,1,0
1,20,1,0,0.0,0.0,0.058823529,0.0,0.280761387,0.00010543,1,1
1,34,1,0,0.0,0.0,0.0,0.052631579,0.280761387,0.00010543,1,1
1,56,1,0,0.0,0.0,0.0,0.026315789,0.280761387,0.00010543,1,0
1,24,1,0,0.0,0.0,0.0,0.0,0.280761387,0.00010543,1,1
1,27,0,0,0.0,0.0,0.0,0.026315789,0.280761387,0.00010543,0,1
1,32,0,0,0.0,0.0,0.0,0.078947368,0.280761387,0.00010543,0,0
1,25,1,1,0.0,0.0,0.0,0.052631579,0.281441196,0.0,1,0
1,35,0,0,0.0,0.0,0.0,0.026315789,0.280761387,0.00010543,0,0
2,34,1,0,0.05,0.0,0.0,0.552631579,0.280761387,0.00010543,0,1
1,57,1,1,0.0,0.0,0.0,0.0,0.281441196,0.00010543,0,1
1,28,1,0,0.05,0.0,0.0,0.184210526,0.280761387,0.00010543,1,1
1,28,1,0,0.1,0.076923077,0.0,0.289473684,0.280761387,0.00010543,1,0
1,61,1,1,0.0,0.0,0.0,0.263157895,0.280761387,0.00010543,1,0
1,25,1,1,0.0,0.153846154,0.058823529,0.236842105,0.281441196,0.0,1,0
1,56,1,0,0.0,0.0,0.0,0.736842105,0.23453433,0.007274644,1,0
1,24,1,1,0.0,0.0,0.0,0.0,0.281441196,0.0,1,0
1,33,1,1,0.0,0.0,0.0,0.052631579,0.280761387,0.00010543,0,1
7,61,1,0,0.0,0.0,0.0,0.210526316,0.266485384,0.002319452,1,1
2,48,1,0,0.0,0.0,0.0,0.0,0.281441196,0.0,0,0
5,22,1,1,0.0,0.0,0.0,0.078947368,0.281441196,0.00010543,1,1
1,45,0,1,0.0,0.0,0.0,0.026315789,0.280761387,0.00010543,1,1
1,22,0,0,0.0,0.0,0.0,0.0,0.281441196,0.00010543,1,0
1,34,1,0,0.0,0.0,0.0,0.394736842,0.277362339,0.000632578,1,0
1,31,1,0,0.0,0.0,0.0,0.0,0.280761387,0.00010543,0,0
5,27,0,0,0.0,0.0,0.0,0.026315789,0.281441196,0.00010543,1,1
1,21,1,0,0.0,0.0,0.0,0.026315789,0.280761387,0.00010543,1,1
1,45,0,1,0.0,0.0,0.0,0.105263158,-1.0,0.03953611,1,0
1,24,1,0,0.0,0.0,0.0,0.026315789,0.281441196,0.00010543,0,1
2,42,1,1,0.0,0.0,0.0,0.026315789,0.280761387,0.00010543,0,0
1,50,0,1,0.0,0.0,0.0,0.078947368,0.281441196,0.0,1,1
1,30,1,0,0.0,0.230769231,0.0,0.473684211,0.280761387,0.00010543,0,0
1,42,1,0,0.0,0.0,0.0,0.0,0.281441196,0.00010543,0,0
1,25,0,0,0.0,0.0,0.0,0.026315789,0.280761387,0.00010543,1,0
1,23,0,0,0.0,0.0,0.0,0.0,0.280761387,0.00010543,1,1
1,32,1,1,0.0,0.0,0.0,0.078947368,0.280761387,0.00010543,1,0
1,26,0,0,0.0,0.0,0.0,0.078947368,0.280761387,0.00010543,1,1
1,28,1,1,0.0,0.0,0.0,0.026315789,0.281441196,0.0,1,0
1,20,0,1,0.0,0.153846154,0.058823529,0.078947368,0.280761387,0.00010543,0,1
1,48,1,1,0.0,0.0,0.0,0.052631579,0.280761387,0.00010543,0,0
1,37,0,0,0.0,0.0,0.0,0.052631579,0.281441196,0.0,1,0
4,24,1,0,0.0,0.0,0.058823529,0.026315789,0.281441196,0.0,1,1
1,21,1,0,0.0,0.076923077,0.058823529,0.078947368,0.281441196,0.0,0,1
1,32,1,1,0.0,0.0,0.0,0.157894737,0.280761387,0.00010543,1,1
1,31,0,0,0.0,0.0,0.0,0.026315789,0.280761387,0.00010543,0,0
1,30,1,0,0.0,0.0,0.0,0.026315789,0.280761387,0.00010543,1,0
1,27,0,1,0.0,0.0,0.0,0.0,0.281441196,0.0,0,1
2,31,0,1,0.0,0.0,0.0,0.0,0.278042148,0.000527148,0,0
2,38,1,1,0.0,0.0,0.0,0.131578947,0.27396329,0.001159726,1,1
2,26,1,0,0.0,0.0,0.0,0.157894737,0.280761387,0.00010543,1,1
1,23,0,0,0.0,0.0,0.0,0.052631579,0.280761387,0.00010543,0,1
3,45,1,0,0.0,0.0,0.0,0.210526316,0.280761387,0.0,1,1
2,39,0,1,0.0,0.0,0.0,0.026315789,0.280761387,0.00010543,0,1
1,49,0,0,0.0,0.0,0.0,0.026315789,0.280761387,0.00010543,1,0
1,20,1,0,0.05,0.0,0.0,0.026315789,0.571719918,0.012967844,1,1
1,53,1,0,0.0,0.0,0.0,0.473684211,0.280761387,0.00010543,0,1
1,29,1,0,0.0,0.0,0.0,0.184210526,0.281441196,0.0,0,1
1,34,1,0,0.15,0.076923077,0.0,0.342105263,0.280761387,0.00010543,1,1
1,30,1,1,0.0,0.0,0.0,0.0,0.280761387,0.00010543,1,1
1,50,1,0,0.0,0.0,0.0,0.236842105,-1.0,0.02266737,1,0
1,34,1,1,0.0,0.0,0.0,0.0,0.281441196,0.0,1,0
1,29,1,0,0.0,0.0,0.0,0.026315789,0.280761387,0.00010543,1,1
1,21,1,0,0.0,0.0,0.0,0.105263158,0.280761387,0.0,1,1
1,22,1,0,0.0,0.0,0.0,0.026315789,0.281441196,0.0,1,1
1,33,1,0,0.0,0.0,0.117647059,0.236842105,0.262406526,0.00295203,0,1
1,30,0,0,0.0,0.0,0.0,0.0,0.281441196,0.00010543,0,0
1,27,0,0,0.0,0.0,0.0,0.052631579,0.280761387,0.00010543,1,1
1,31,1,0,0.0,0.0,0.0,0.026315789,-1.0,0.007169215,0,0
1,30,1,0,0.0,0.0,0.0,0.052631579,0.280761387,0.00010543,0,0
1,36,1,0,0.0,0.0,0.0,0.421052632,0.281441196,0.0,1,1
1,26,1,0,0.0,0.076923077,0.0,0.105263158,0.280761387,0.00010543,0,1
1,48,1,1,0.0,0.0,0.0,0.0,0.277362339,0.000632578,0,1
1,22,1,1,0.0,0.0,0.0,0.026315789,0.280761387,0.00010543,1,1
1,21,1,0,0.0,0.0,0.0,0.078947368,0.280761387,0.0,1,1
1,35,1,0,0.0,0.0,0.0,0.105263158,0.280761387,0.00010543,0,0
5,23,0,0,0.0,0.0,0.0,0.0,0.281441196,0.0,0,0
1,56,1,0,0.0,0.0,0.0,0.815789474,0.266485384,0.002424881,1,1
7,43,0,1,0.0,0.0,0.0,0.0,0.281441196,0.0,0,0
3,44,1,0,0.1,0.0,0.0,0.5,0.269884432,0.001792304,0,1
1,30,1,0,0.1,0.0,0.0,0.210526316,0.280761387,0.00010543,1,0
1,22,1,0,0.0,0.076923077,0.0,0.026315789,0.280761387,0.00010543,1,1
1,25,0,0,0.0,0.0,0.0,0.0,0.280761387,0.00010543,1,1
1,30,1,1,0.0,0.0,0.0,0.105263158,0.186267845,0.014760148,1,0
1,44,1,1,0.0,0.0,0.0,0.052631579,0.280761387,0.00010543,1,1
7,44,1,0,0.0,0.0,0.0,0.0,0.280761387,0.00010543,0,0
1,70,1,1,0.0,0.0,0.0,0.289473684,0.272603671,0.001370585,1,1
1,28,1,0,0.0,0.0,0.058823529,0.184210526,0.280761387,0.00010543,1,0
1,25,1,0,0.05,0.153846154,0.0,0.236842105,0.310673012,0.002108593,1,1
2,47,0,1,0.0,0.0,0.0,0.0,0.277362339,0.000632578,0,1
1,30,1,0,0.0,0.0,0.0,0.131578947,0.280761387,0.00010543,0,0
7,57,1,1,0.0,0.0,0.0,0.0,0.280081577,0.000210859,1,0
1,32,1,0,0.0,0.0,0.0,0.026315789,0.281441196,0.0,1,0
1,38,0,0,0.0,0.0,0.0,0.078947368,0.281441196,0.0,1,1
1,42,1,0,0.0,0.0,0.0,0.0,0.281441196,0.0,1,1
1,33,1,0,0.0,0.0,0.0,0.0,0.278721958,0.000421719,1,1
1,32,1,0,0.0,0.0,0.0,0.052631579,-1.0,0.127569847,1,0
1,39,1,0,0.0,0.0,0.0,0.0,0.280761387,0.00010543,0,0
1,46,1,0,0.0,0.0,0.0,0.131578947,0.281441196,0.0,1,1
2,35,1,0,0.0,0.0,0.0,0.0,0.280761387,0.00010543,1,0
1,39,1,1,0.05,0.0,0.0,0.026315789,0.280761387,0.176278334,0,0
2,30,1,0,0.0,0.0,0.0,0.0,0.280761387,0.00010543,1,0
3,28,1,0,0.0,0.0,0.0,0.157894737,0.280761387,0.00010543,1,0
1,26,1,0,0.0,0.076923077,0.0,0.157894737,0.276002719,0.000843437,0,0
1,27,0,1,0.0,0.0,0.0,0.052631579,-1.0,0.045334739,0,0
1,34,1,1,0.0,0.0,0.0,0.026315789,0.247450714,0.005271481,1,0
1,27,1,1,0.0,0.0,0.0,0.026315789,0.280761387,0.00010543,0,0
1,43,0,1,0.0,0.0,0.0,0.578947368,0.280761387,0.00010543,0,1
1,27,1,0,0.0,0.0,0.0,0.105263158,0.281441196,0.0,1,1
1,22,0,0,0.0,0.0,0.0,0.052631579,-1.0,0.007590933,1,0
1,23,0,0,0.0,0.0,0.0,0.0,0.280761387,0.00010543,1,0
3,46,1,1,0.0,0.0,0.0,0.131578947,0.366417403,0.02530311,0,0
2,36,1,1,0.0,0.0,0.0,0.0,0.280761387,0.00010543,1,0
1,20,1,0,0.0,0.0,0.058823529,0.026315789,0.280761387,0.00010543,1,1
1,22,1,0,0.0,0.0,0.0,0.078947368,0.29503739,0.002214022,1,1
1,31,1,0,0.0,0.0,0.0,0.0,0.280761387,0.00010543,1,0
1,26,0,1,0.0,0.0,0.0,0.0,0.280761387,0.00010543,1,0
7,54,0,1,0.0,0.0,0.0,0.026315789,0.278721958,0.000421719,0,0
1,31,1,0,0.0,0.0,0.0,0.0,0.280761387,0.00010543,1,0
1,23,1,0,0.0,0.0,0.0,0.026315789,0.242012237,0.006114918,1,0
1,24,1,1,0.0,0.0,0.0,0.0,0.280761387,0.00010543,1,1
1,27,0,1,0.0,0.0,0.0,0.0,0.281441196,0.00010543,1,0
1,27,1,1,0.0,0.153846154,0.058823529,0.342105263,0.241332427,0.004111755,1,1
1,34,0,0,0.0,0.0,0.0,0.131578947,0.280761387,0.00010543,1,0
1,22,1,0,0.0,0.0,0.058823529,0.026315789,0.300475867,0.00010543,0,1
3,28,0,1,0.0,0.0,0.0,0.0,0.277362339,0.000632578,0,0
7,54,1,1,0.0,0.0,0.0,0.368421053,0.280761387,0.00010543,0,1
1,51,0,0,0.0,0.0,0.0,0.078947368,0.280761387,0.00010543,0,0
1,35,1,0,0.0,0.0,0.0,0.763157895,0.212780421,0.010648392,1,0
1,49,1,0,0.0,0.0,0.0,0.078947368,0.280761387,0.00010543,1,0
1,50,1,0,0.0,0.0,0.117647059,0.631578947,0.281441196,0.00010543,0,1
1,31,1,0,0.0,0.0,0.0,0.236842105,0.281441196,0.0,1,1
1,46,1,1,0.0,0.0,0.0,0.026315789,0.280761387,0.00010543,1,0
1,27,1,0,0.0,0.0,0.0,0.184210526,0.280761387,0.00010543,0,1
1,38,1,0,0.0,0.0,0.0,0.394736842,0.281441196,0.00010543,1,0
1,24,1,0,0.0,0.0,0.117647059,0.026315789,0.280761387,0.00010543,0,1
1,25,1,0,0.0,0.0,0.0,0.026315789,0.265125765,0.002530311,1,1
7,53,1,1,0.0,0.0,0.0,0.052631579,0.280081577,0.000210859,1,0
1,30,0,0,0.0,0.0,0.0,0.078947368,0.280761387,0.00010543,1,0
2,50,1,1,0.0,0.0,0.0,0.052631579,0.281441196,0.00010543,0,0
1,23,1,1,0.0,0.0,0.0,0.0,0.280761387,0.00010543,0,0
1,28,1,0,0.0,0.0,0.0,0.236842105,0.280761387,0.00010543,1,1
1,23,1,1,0.0,0.0,0.0,0.0,0.280761387,0.00010543,1,0
1,35,1,0,0.0,0.0,0.0,0.473684211,0.205302515,0.010964681,1,1
1,27,0,0,0.0,0.0,0.0,0.0,0.280761387,0.00010543,0,1
2,42,1,1,0.0,0.0,0.0,0.052631579,0.252209381,0.004533474,0,0
1,28,1,0,0.0,0.0,0.0,0.131578947,0.281441196,0.0,1,0
1,26,1,0,0.0,0.0,0.0,0.052631579,0.280761387,0.00010543,1,0
1,30,1,0,0.0,0.0,0.0,0.0,0.281441196,0.0,1,0
1,31,1,0,0.0,0.0,0.0,0.236842105,0.280761387,0.00010543,0,1
1,21,1,0,0.0,0.076923077,0.0,0.026315789,0.281441196,0.0,1,1
1,34,0,0,0.0,0.0,0.0,0.026315789,0.280761387,0.00010543,1,0
3,25,1,0,0.0,0.076923077,0.058823529,0.210526316,-1.0,0.00010543,1,0
1,23,1,0,0.0,0.0,0.0,0.0,0.280761387,0.00010543,1,0
1,31,0,1,0.0,0.0,0.117647059,0.368421053,0.281441196,0.00010543,1,0
1,33,1,1,0.0,0.0,0.0,0.184210526,0.280761387,0.00010543,1,1
1,35,0,0,0.0,0.0,0.0,0.0,0.280761387,0.00010543,1,1
1,54,0,1,0.0,0.0,0.0,0.315789474,0.162474507,0.018450185,1,0
1,41,1,0,0.0,0.0,0.0,0.157894737,0.280761387,0.00010543,1,1
1,27,1,0,0.0,0.0,0.0,0.052631579,0.641740313,0.032683184,0,1
1,48,1,0,0.0,0.0,0.0,0.263157895,-1.0,0.02266737,1,0
1,31,1,1,0.0,0.0,0.0,0.0,0.280761387,0.00010543,0,0
1,51,1,0,0.0,0.0,0.0,0.078947368,0.269204623,0.001897733,1,0
1,36,0,1,0.0,0.0,0.0,0.0,0.280761387,0.00010543,0,0
1,20,0,0,0.0,0.0,0.0,0.0,0.280761387,0.00010543,1,0
1,51,1,1,0.0,0.0,0.0,0.0,0.281441196,0.00010543,1,0
1,24,1,0,0.0,0.0,0.0,0.184210526,0.280761387,0.00010543,1,1
1,31,1,0,0.0,0.0,0.0,0.105263158,0.233854521,0.004955192,1,0
1,43,1,0,0.0,0.0,0.0,0.105263158,0.280761387,0.0,1,1
1,26,1,0,0.0,0.0,0.0,0.078947368,0.280761387,0.00010543,0,0
1,25,1,0,0.0,0.0,0.0,0.105263158,-1.0,0.00010543,1,1
1,48,1,0,0.0,0.0,0.0,0.131578947,0.280761387,0.00010543,1,1
1,46,0,1,0.0,0.0,0.0,0.0,0.280761387,0.00010543,0,0
1,31,1,0,0.0,0.0,0.0,0.105263158,0.273283481,0.001265156,1,1
1,29,1,1,0.0,0.0,0.0,0.026315789,0.280761387,0.00010543,0,0
1,28,1,0,0.0,0.0,0.058823529,0.105263158,0.280761387,0.00010543,1,0
1,32,1,0,0.0,0.0,0.058823529,0.578947368,0.281441196,0.0,1,1
1,42,0,0,0.0,0.0,0.0,0.421052632,0.280761387,0.00010543,1,0
